Text,Explanations,Aspect
"""I asked her if she'd like to catch up on our mutual birthdays, she proceeded to let me know how 'FRIENDS' of hers were throwing her a birthday party therefore could we catch up beforehand.""",Asked her if she’d like to catch up on our mutual birthdays/,2
"""I am 110% fed up with everything at the moment.""",fed up with everything/,3
“I really wish I got a job when I was 14 or even 15 and stayed with it! I would have had a much better Resume and found it easier to get other jobs.”,Wish I got a job/ would have had a much better resume and found it easier to get jobs/,0
“for some reason i continue to put things in place that i think i enjoy doing but then realise that i don't like doing this activity that i maybe used to enjoy and ultimately end up hating myself more after.”,end up hating myself/,3
"“It's been a sexless relationship for about 5 years now. I don't even get any affection or closeness at all. I get incredibly sexually frustrated and lonely at night, to the point where it is unbearable.”",Sexless relationship for about 5 years now/ incredibly sexually frustrated and lonely at night/ ,2
"""It is not so much what she says, it is her tone of voice, it can deflate me.""",Her tone of voice/ deflate me/,2
"""I only cook now, but I still get suspicious when I see little specks or rashes in my food.”",specks or rashes in my food/,1
“I work in an intense industry (mental health).”,work in an intense industry/,0
"“I was exposed to numerous types of traumatic events throughout my childhood, including sexual abuse and I have been seeking professional help for more than 20 years and have gone undiagnosed until about 3 years ago.”",exposed to numerous types of traumatic events/ sexual abuse/,1
"“I have tried as hard as possible to help him, offering assistance with organising NDIS, organising him groceries and also Lite n Easy meals he can just heat up, helping him sort his medications, reminding him of medications, coming over and cooking him dinner sometimes offers to come after work to go for walks and do physio together. And he doesn't want any of it. He doesn't help himself at all.”",Doesn’t help himself at all/,2
"“I applied for a urgent payment this morning due to my partners medical condition having invasive breast cancer. """,medical condition/ invasive breast cancer/,1
"""I wake up, I am so tired it is hard to get up from the bed.”",so tired/ hard to get up from bed/,1
"“I live with PTSD and anxiety is prominent.""",PTSD/ anxiety/,3
"“This person even though I wasn't hired in the role to be their subordinate, took it on themselves to position me in such a way, that they we giving me directions on exactly how they wanted things done (my role was a support role), but they were getting me to do all the hard work.""",wasn't hired in the role to be their subordinate/ getting me to do all the hard work/,0
"“I was in an abusive relationship for three years with a much older man that affected every part of my life and me. Before that I was living with my mum who was emotionally abusive. Two years later I’m in a really beautiful relationship and he treats me well. I still always have a feeling of something is happening or going to happen.""",Abusive relationship for three years/ emotionally abusive/ ,2
"""I haven't been suicidal for a few years now, and I'm not, but this is some new low I didn't realise I could get to emotionally.""",this is some new low I didn't realise I could get to emotionally/,3
"“Although my history of multiple trauma’s and childhood abuse caused specific responses in me from an early age, I thought I was normal and everyone was the same.”",multiple trauma's/ childhood abuse/ caused specific responses/ ,3
“I don't have any friends and spend every day mostly by myself. No one invites me out or gives me support. No one comes around to see how i'm going. It's been so long I don't even know how to make lasting friendships and keep them.”,Don’t have nay friends/ no one invites me out or gives me support/ don’t know how to make lasting friendships/,2
“It makes me feel absolutely disgusting at times and I am truly ashamed. I try to visualize it just as a thought and not to give it the time and to let it pass but it’s just not that easy at all.”,absolutely disgusting/ ashamed/ ,3
"""I feel more isolated with lack of support if something goes wrong.""",Feel more isolated/ lack of support/ ,2
"""He is good most of the time but he gets these lows that make him lash out, isolate, reject me and say horrible things.""","gets these lows/ lash out, isolate, reject me/ say horrible things/",3
"“am now hyper-aware of my anxiety throughout the day. I realised that I am constantly worried about something... whether that be feeling anxious in social situations, worrying what others think of me, constantly replaying past conversations over and over in my head, always feeling sick even if I am not sick, worrying about being sick in public situations etc. I realised I don't think I'm ever really relaxed.”",always feeling sick even if I am not sick/,1
"""I’m too caught up with the idea of self-harm and/or suicide…""",too caught up/ idea of self-harm/ suicide/,3
"“Lately I have been haunted by a repressed childhood memory of me being made to feel excluded where I was forced to stay home while parents took my siblings somewhere at night one time. It has undermined my trust with my parents and siblings, the love I had for them.”",Made to feel excluded/ forced to stay home/ undermined my trust with my parents/,2
